rank,post_id,topic,title,views,likes,comments,posted,link
1,17975416793358601,"Stress, cortisol & biological aging","Unlocking the Secrets of Stress: Cortisol, the Timekeeper of Biological Age.",4957,62,4,2023-06-16,https://www.instagram.com/reel/CtjZYwbP4Kr/
2,17880660026948118,Detoxification blueprint,"Embarking on a Healthier You: The Detox Blueprint",4667,27,2,2023-09-26,https://www.instagram.com/reel/CxqsBRyuhWy/
3,18030220393976018,Alzheimer's prevention,"Explore key strategies to prevent Alzheimer's disease",3279,70,7,2024-07-24,https://www.instagram.com/reel/C9yOEJjswL3/
4,18000600365620807,Performance & recovery coaching,"Performance and recovery coaching first session",3151,14,0,2024-06-09,https://www.instagram.com/reel/C7_u9TEoIbs/
5,17909279930979779,Kids' immunity & juicing,"Boost your kids' immunity this cold season with homemade juices",2002,46,8,2025-01-22,https://www.instagram.com/reel/DFIZH8xh7_f/
6,18004632847930716,IV therapy experience,Come get an IV with me @5journeyshealth,1847,51,5,2023-10-19,https://www.instagram.com/reel/CymFsZsud_Q/
7,18050782192538736,Melatonin (beyond sleep),Melatonin: More than Just a Sleep Aid,1732,39,8,2024-03-26,https://www.instagram.com/reel/C4_iiZSu5Nl/
8,18024994624802035,Boston clinic tour,Welcome to our new Boston location virtual tour,1716,75,24,2023-11-15,https://www.instagram.com/reel/CzrXaMSuneI/
9,18084556390603647,InBody / body composition,Wendie unveils the brand new InBody machine at the office,1716,40,9,2025-02-11,https://www.instagram.com/reel/DF8z_vxPsGw/
10,17862548193007906,Gut health & goat cheese,Did you know Goat cheese can be good for your gut health?,1681,40,3,2023-09-21,https://www.instagram.com/reel/CxeNAjiMA3h/
